n_element = 8936 , t_a_compute = 0.000080 seconds, bandwidth = 112.050157 GBytes/s, performance = 80.676113 GFlop/s, t_j_init = 0.000026 , t_j_init_copy = 0.000043 , t_a_init_copy = 0.000068 , t_j_end_copy = 0.000060 , t_a_end_copy = 0.000106
n_element = 9829 , t_a_compute = 0.000081 seconds, bandwidth = 121.066181 GBytes/s, performance = 87.167650 GFlop/s, t_j_init = 0.000026 , t_j_init_copy = 0.000046 , t_a_init_copy = 0.000076 , t_j_end_copy = 0.000059 , t_a_end_copy = 0.000098
n_element = 10811 , t_a_compute = 0.001239 seconds, bandwidth = 8.723473 GBytes/s, performance = 6.280901 GFlop/s, t_j_init = 0.000029 , t_j_init_copy = 0.000050 , t_a_init_copy = 0.000082 , t_j_end_copy = 0.000064 , t_a_end_copy = 0.000106
n_element = 11892 , t_a_compute = 0.000081 seconds, bandwidth = 146.079009 GBytes/s, performance = 105.176887 GFlop/s, t_j_init = 0.000034 , t_j_init_copy = 0.000055 , t_a_init_copy = 0.000092 , t_j_end_copy = 0.000073 , t_a_end_copy = 0.000115
n_element = 13081 , t_a_compute = 0.000087 seconds, bandwidth = 151.080466 GBytes/s, performance = 108.777936 GFlop/s, t_j_init = 0.000035 , t_j_init_copy = 0.000060 , t_a_init_copy = 0.000103 , t_j_end_copy = 0.000075 , t_a_end_copy = 0.000125
n_element = 14389 , t_a_compute = 0.000089 seconds, bandwidth = 161.750489 GBytes/s, performance = 116.460352 GFlop/s, t_j_init = 0.000039 , t_j_init_copy = 0.000065 , t_a_init_copy = 0.000126 , t_j_end_copy = 0.000080 , t_a_end_copy = 0.000136
n_element = 15827 , t_a_compute = 0.000407 seconds, bandwidth = 38.924468 GBytes/s, performance = 28.025617 GFlop/s, t_j_init = 0.000043 , t_j_init_copy = 0.000071 , t_a_init_copy = 0.000129 , t_j_end_copy = 0.000091 , t_a_end_copy = 0.000149
n_element = 17409 , t_a_compute = 0.000096 seconds, bandwidth = 180.503282 GBytes/s, performance = 129.962363 GFlop/s, t_j_init = 0.000055 , t_j_init_copy = 0.000077 , t_a_init_copy = 0.000140 , t_j_end_copy = 0.000096 , t_a_end_copy = 0.000158
n_element = 19149 , t_a_compute = 0.000098 seconds, bandwidth = 194.659049 GBytes/s, performance = 140.154516 GFlop/s, t_j_init = 0.000052 , t_j_init_copy = 0.000084 , t_a_init_copy = 0.000150 , t_j_end_copy = 0.000104 , t_a_end_copy = 0.000166
n_element = 21063 , t_a_compute = 0.000105 seconds, bandwidth = 200.512157 GBytes/s, performance = 144.368753 GFlop/s, t_j_init = 0.000057 , t_j_init_copy = 0.000092 , t_a_init_copy = 0.000162 , t_j_end_copy = 0.000114 , t_a_end_copy = 0.000175
n_element = 23169 , t_a_compute = 0.000105 seconds, bandwidth = 220.271144 GBytes/s, performance = 158.595224 GFlop/s, t_j_init = 0.000060 , t_j_init_copy = 0.000099 , t_a_init_copy = 0.000173 , t_j_end_copy = 0.000125 , t_a_end_copy = 0.000188
n_element = 25485 , t_a_compute = 0.000103 seconds, bandwidth = 246.408060 GBytes/s, performance = 177.413803 GFlop/s, t_j_init = 0.000069 , t_j_init_copy = 0.000110 , t_a_init_copy = 0.000192 , t_j_end_copy = 0.000136 , t_a_end_copy = 0.000197
n_element = 28033 , t_a_compute = 0.000126 seconds, bandwidth = 223.100309 GBytes/s, performance = 160.632222 GFlop/s, t_j_init = 0.000073 , t_j_init_copy = 0.000121 , t_a_init_copy = 0.000209 , t_j_end_copy = 0.000148 , t_a_end_copy = 0.000209
n_element = 30836 , t_a_compute = 0.000401 seconds, bandwidth = 76.868044 GBytes/s, performance = 55.344991 GFlop/s, t_j_init = 0.000086 , t_j_init_copy = 0.000129 , t_a_init_copy = 0.000223 , t_j_end_copy = 0.000160 , t_a_end_copy = 0.000226
n_element = 33919 , t_a_compute = 0.000146 seconds, bandwidth = 232.664540 GBytes/s, performance = 167.518469 GFlop/s, t_j_init = 0.000091 , t_j_init_copy = 0.000138 , t_a_init_copy = 0.000247 , t_j_end_copy = 0.000168 , t_a_end_copy = 0.000237
n_element = 37310 , t_a_compute = 0.000168 seconds, bandwidth = 221.688780 GBytes/s, performance = 159.615922 GFlop/s, t_j_init = 0.000104 , t_j_init_copy = 0.000149 , t_a_init_copy = 0.000263 , t_j_end_copy = 0.000175 , t_a_end_copy = 0.000253
n_element = 41041 , t_a_compute = 0.000295 seconds, bandwidth = 139.088558 GBytes/s, performance = 100.143762 GFlop/s, t_j_init = 0.000113 , t_j_init_copy = 0.000163 , t_a_init_copy = 0.000284 , t_j_end_copy = 0.000187 , t_a_end_copy = 0.000274
n_element = 45145 , t_a_compute = 0.000237 seconds, bandwidth = 190.084211 GBytes/s, performance = 136.860632 GFlop/s, t_j_init = 0.000122 , t_j_init_copy = 0.000175 , t_a_init_copy = 0.000306 , t_j_end_copy = 0.000198 , t_a_end_copy = 0.000292
n_element = 49659 , t_a_compute = 0.000272 seconds, bandwidth = 182.287040 GBytes/s, performance = 131.246669 GFlop/s, t_j_init = 0.000135 , t_j_init_copy = 0.000184 , t_a_init_copy = 0.000335 , t_j_end_copy = 0.000211 , t_a_end_copy = 0.000316
n_element = 54624 , t_a_compute = 0.000300 seconds, bandwidth = 182.106709 GBytes/s, performance = 131.116830 GFlop/s, t_j_init = 0.000130 , t_j_init_copy = 0.000200 , t_a_init_copy = 0.000351 , t_j_end_copy = 0.000224 , t_a_end_copy = 0.000341
n_element = 60086 , t_a_compute = 0.000306 seconds, bandwidth = 196.588831 GBytes/s, performance = 141.543958 GFlop/s, t_j_init = 0.000161 , t_j_init_copy = 0.000218 , t_a_init_copy = 0.000377 , t_j_end_copy = 0.000240 , t_a_end_copy = 0.000368
n_element = 66094 , t_a_compute = 0.000336 seconds, bandwidth = 196.603010 GBytes/s, performance = 141.554167 GFlop/s, t_j_init = 0.000178 , t_j_init_copy = 0.000235 , t_a_init_copy = 0.000409 , t_j_end_copy = 0.000256 , t_a_end_copy = 0.000397
n_element = 72703 , t_a_compute = 0.000368 seconds, bandwidth = 197.524927 GBytes/s, performance = 142.217948 GFlop/s, t_j_init = 0.000223 , t_j_init_copy = 0.000256 , t_a_init_copy = 0.000442 , t_j_end_copy = 0.000274 , t_a_end_copy = 0.000431
n_element = 79973 , t_a_compute = 0.000378 seconds, bandwidth = 211.308281 GBytes/s, performance = 152.141963 GFlop/s, t_j_init = 0.000215 , t_j_init_copy = 0.000273 , t_a_init_copy = 0.000477 , t_j_end_copy = 0.000292 , t_a_end_copy = 0.000465
n_element = 87970 , t_a_compute = 0.000439 seconds, bandwidth = 200.605213 GBytes/s, performance = 144.435754 GFlop/s, t_j_init = 0.000236 , t_j_init_copy = 0.000298 , t_a_init_copy = 0.000522 , t_j_end_copy = 0.000320 , t_a_end_copy = 0.000505
n_element = 96767 , t_a_compute = 0.000490 seconds, bandwidth = 197.447810 GBytes/s, performance = 142.162424 GFlop/s, t_j_init = 0.000269 , t_j_init_copy = 0.000324 , t_a_init_copy = 0.000582 , t_j_end_copy = 0.000346 , t_a_end_copy = 0.000547
n_element = 106443 , t_a_compute = 0.000519 seconds, bandwidth = 205.231679 GBytes/s, performance = 147.766809 GFlop/s, t_j_init = 0.000284 , t_j_init_copy = 0.000351 , t_a_init_copy = 0.000616 , t_j_end_copy = 0.000373 , t_a_end_copy = 0.000646
n_element = 117087 , t_a_compute = 0.000566 seconds, bandwidth = 206.832410 GBytes/s, performance = 148.919335 GFlop/s, t_j_init = 0.000308 , t_j_init_copy = 0.000382 , t_a_init_copy = 0.000673 , t_j_end_copy = 0.000403 , t_a_end_copy = 0.000651
n_element = 128795 , t_a_compute = 0.000612 seconds, bandwidth = 210.331808 GBytes/s, performance = 151.438902 GFlop/s, t_j_init = 0.000361 , t_j_init_copy = 0.000424 , t_a_init_copy = 0.000785 , t_j_end_copy = 0.000442 , t_a_end_copy = 0.000707
n_element = 141674 , t_a_compute = 0.000681 seconds, bandwidth = 208.085846 GBytes/s, performance = 149.821809 GFlop/s, t_j_init = 0.000383 , t_j_init_copy = 0.000453 , t_a_init_copy = 0.000821 , t_j_end_copy = 0.000472 , t_a_end_copy = 0.000775
n_element = 155841 , t_a_compute = 0.000747 seconds, bandwidth = 208.694849 GBytes/s, performance = 150.260291 GFlop/s, t_j_init = 0.000401 , t_j_init_copy = 0.000504 , t_a_init_copy = 0.000983 , t_j_end_copy = 0.000609 , t_a_end_copy = 0.000843
n_element = 171425 , t_a_compute = 0.000770 seconds, bandwidth = 222.716643 GBytes/s, performance = 160.355983 GFlop/s, t_j_init = 0.000444 , t_j_init_copy = 0.000543 , t_a_init_copy = 0.000992 , t_j_end_copy = 0.000565 , t_a_end_copy = 0.000931
n_element = 188567 , t_a_compute = 0.001660 seconds, bandwidth = 113.584999 GBytes/s, performance = 81.781199 GFlop/s, t_j_init = 0.000502 , t_j_init_copy = 0.000595 , t_a_init_copy = 0.001162 , t_j_end_copy = 0.000624 , t_a_end_copy = 0.001015
n_element = 207423 , t_a_compute = 0.000960 seconds, bandwidth = 216.166503 GBytes/s, performance = 155.639882 GFlop/s, t_j_init = 0.000550 , t_j_init_copy = 0.000651 , t_a_init_copy = 0.001175 , t_j_end_copy = 0.000656 , t_a_end_copy = 0.001100
n_element = 228165 , t_a_compute = 0.001066 seconds, bandwidth = 214.116395 GBytes/s, performance = 154.163804 GFlop/s, t_j_init = 0.000615 , t_j_init_copy = 0.000712 , t_a_init_copy = 0.001282 , t_j_end_copy = 0.000724 , t_a_end_copy = 0.001202
n_element = 250981 , t_a_compute = 0.001173 seconds, bandwidth = 214.013396 GBytes/s, performance = 154.089645 GFlop/s, t_j_init = 0.000672 , t_j_init_copy = 0.000787 , t_a_init_copy = 0.001398 , t_j_end_copy = 0.000780 , t_a_end_copy = 0.001338
n_element = 276079 , t_a_compute = 0.001285 seconds, bandwidth = 214.811864 GBytes/s, performance = 154.664542 GFlop/s, t_j_init = 0.000740 , t_j_init_copy = 0.000869 , t_a_init_copy = 0.001534 , t_j_end_copy = 0.000850 , t_a_end_copy = 0.001474
n_element = 303686 , t_a_compute = 0.001384 seconds, bandwidth = 219.414252 GBytes/s, performance = 157.978261 GFlop/s, t_j_init = 0.000812 , t_j_init_copy = 0.000953 , t_a_init_copy = 0.001673 , t_j_end_copy = 0.000929 , t_a_end_copy = 0.001596
n_element = 334054 , t_a_compute = 0.001517 seconds, bandwidth = 220.183039 GBytes/s, performance = 158.531788 GFlop/s, t_j_init = 0.000899 , t_j_init_copy = 0.001038 , t_a_init_copy = 0.001845 , t_j_end_copy = 0.001014 , t_a_end_copy = 0.001748
n_element = 367459 , t_a_compute = 0.001670 seconds, bandwidth = 220.021759 GBytes/s, performance = 158.415667 GFlop/s, t_j_init = 0.000978 , t_j_init_copy = 0.001146 , t_a_init_copy = 0.002006 , t_j_end_copy = 0.001102 , t_a_end_copy = 0.001910
n_element = 404204 , t_a_compute = 0.001830 seconds, bandwidth = 220.873968 GBytes/s, performance = 159.029257 GFlop/s, t_j_init = 0.001133 , t_j_init_copy = 0.001255 , t_a_init_copy = 0.002204 , t_j_end_copy = 0.001210 , t_a_end_copy = 0.002096
n_element = 444624 , t_a_compute = 0.001985 seconds, bandwidth = 224.001532 GBytes/s, performance = 161.281103 GFlop/s, t_j_init = 0.001067 , t_j_init_copy = 0.001389 , t_a_init_copy = 0.002431 , t_j_end_copy = 0.001341 , t_a_end_copy = 0.002302
n_element = 489086 , t_a_compute = 0.002193 seconds, bandwidth = 223.072088 GBytes/s, performance = 160.611904 GFlop/s, t_j_init = 0.001332 , t_j_init_copy = 0.001531 , t_a_init_copy = 0.002673 , t_j_end_copy = 0.001454 , t_a_end_copy = 0.002533
n_element = 537994 , t_a_compute = 0.002421 seconds, bandwidth = 222.232411 GBytes/s, performance = 160.007336 GFlop/s, t_j_init = 0.001472 , t_j_init_copy = 0.001700 , t_a_init_copy = 0.002894 , t_j_end_copy = 0.001577 , t_a_end_copy = 0.002769
n_element = 591793 , t_a_compute = 0.002640 seconds, bandwidth = 224.182697 GBytes/s, performance = 161.411542 GFlop/s, t_j_init = 0.001543 , t_j_init_copy = 0.001899 , t_a_init_copy = 0.003201 , t_j_end_copy = 0.001765 , t_a_end_copy = 0.003040
n_element = 650972 , t_a_compute = 0.002898 seconds, bandwidth = 224.650655 GBytes/s, performance = 161.748472 GFlop/s, t_j_init = 0.001826 , t_j_init_copy = 0.002080 , t_a_init_copy = 0.003481 , t_j_end_copy = 0.001898 , t_a_end_copy = 0.003335
n_element = 716069 , t_a_compute = 0.003233 seconds, bandwidth = 221.477677 GBytes/s, performance = 159.463927 GFlop/s, t_j_init = 0.001950 , t_j_init_copy = 0.002232 , t_a_init_copy = 0.003816 , t_j_end_copy = 0.002082 , t_a_end_copy = 0.003668
n_element = 787675 , t_a_compute = 0.003509 seconds, bandwidth = 224.450589 GBytes/s, performance = 161.604424 GFlop/s, t_j_init = 0.002129 , t_j_init_copy = 0.002449 , t_a_init_copy = 0.004198 , t_j_end_copy = 0.002282 , t_a_end_copy = 0.004060
n_element = 866442 , t_a_compute = 0.003911 seconds, bandwidth = 221.561854 GBytes/s, performance = 159.524535 GFlop/s, t_j_init = 0.002377 , t_j_init_copy = 0.002761 , t_a_init_copy = 0.004629 , t_j_end_copy = 0.002804 , t_a_end_copy = 0.004435
n_element = 953086 , t_a_compute = 0.004288 seconds, bandwidth = 222.290844 GBytes/s, performance = 160.049408 GFlop/s, t_j_init = 0.002728 , t_j_init_copy = 0.002941 , t_a_init_copy = 0.005039 , t_j_end_copy = 0.002777 , t_a_end_copy = 0.004857
n_element = 1048394 , t_a_compute = 0.004605 seconds, bandwidth = 227.670557 GBytes/s, performance = 163.922801 GFlop/s, t_j_init = 0.002923 , t_j_init_copy = 0.003206 , t_a_init_copy = 0.005547 , t_j_end_copy = 0.003097 , t_a_end_copy = 0.005352
n_element = 1153233 , t_a_compute = 0.005119 seconds, bandwidth = 225.287550 GBytes/s, performance = 162.207036 GFlop/s, t_j_init = 0.003100 , t_j_init_copy = 0.003572 , t_a_init_copy = 0.006154 , t_j_end_copy = 0.003339 , t_a_end_copy = 0.005867
n_element = 1268556 , t_a_compute = 0.005497 seconds, bandwidth = 230.759912 GBytes/s, performance = 166.147136 GFlop/s, t_j_init = 0.003622 , t_j_init_copy = 0.003840 , t_a_init_copy = 0.006709 , t_j_end_copy = 0.003655 , t_a_end_copy = 0.006445
n_element = 1395411 , t_a_compute = 0.006156 seconds, bandwidth = 226.676756 GBytes/s, performance = 163.207264 GFlop/s, t_j_init = 0.003835 , t_j_init_copy = 0.004207 , t_a_init_copy = 0.007356 , t_j_end_copy = 0.004084 , t_a_end_copy = 0.007104
n_element = 1534952 , t_a_compute = 0.006622 seconds, bandwidth = 231.808889 GBytes/s, performance = 166.902400 GFlop/s, t_j_init = 0.004669 , t_j_init_copy = 0.004669 , t_a_init_copy = 0.008088 , t_j_end_copy = 0.004437 , t_a_end_copy = 0.007829
n_element = 1688447 , t_a_compute = 0.007397 seconds, bandwidth = 228.259601 GBytes/s, performance = 164.346913 GFlop/s, t_j_init = 0.004591 , t_j_init_copy = 0.005076 , t_a_init_copy = 0.008894 , t_j_end_copy = 0.004880 , t_a_end_copy = 0.008554
