n_element = 8936 , t_a_compute = 0.000160 seconds, bandwidth = 55.912202 GBytes/s, performance = 40.256786 GFlop/s, t_j_init = 0.000013 , t_j_init_copy = 0.000043 , t_a_init_copy = 0.000071 , t_j_end_copy = 0.000054 , t_a_end_copy = 0.000089
n_element = 9829 , t_a_compute = 0.000159 seconds, bandwidth = 61.938761 GBytes/s, performance = 44.595908 GFlop/s, t_j_init = 0.000015 , t_j_init_copy = 0.000046 , t_a_init_copy = 0.000074 , t_j_end_copy = 0.000058 , t_a_end_copy = 0.000096
n_element = 10811 , t_a_compute = 0.000175 seconds, bandwidth = 61.679161 GBytes/s, performance = 44.408996 GFlop/s, t_j_init = 0.000016 , t_j_init_copy = 0.000050 , t_a_init_copy = 0.000082 , t_j_end_copy = 0.000063 , t_a_end_copy = 0.000104
n_element = 11892 , t_a_compute = 0.000176 seconds, bandwidth = 67.696652 GBytes/s, performance = 48.741589 GFlop/s, t_j_init = 0.000019 , t_j_init_copy = 0.000055 , t_a_init_copy = 0.000092 , t_j_end_copy = 0.000069 , t_a_end_copy = 0.000115
n_element = 13081 , t_a_compute = 0.000198 seconds, bandwidth = 66.119086 GBytes/s, performance = 47.605742 GFlop/s, t_j_init = 0.000022 , t_j_init_copy = 0.000060 , t_a_init_copy = 0.000100 , t_j_end_copy = 0.000075 , t_a_end_copy = 0.000123
n_element = 14389 , t_a_compute = 0.000200 seconds, bandwidth = 72.097486 GBytes/s, performance = 51.910190 GFlop/s, t_j_init = 0.000024 , t_j_init_copy = 0.000065 , t_a_init_copy = 0.000115 , t_j_end_copy = 0.000082 , t_a_end_copy = 0.000137
n_element = 15827 , t_a_compute = 0.000221 seconds, bandwidth = 71.626728 GBytes/s, performance = 51.571244 GFlop/s, t_j_init = 0.000027 , t_j_init_copy = 0.000071 , t_a_init_copy = 0.000127 , t_j_end_copy = 0.000089 , t_a_end_copy = 0.000150
n_element = 17409 , t_a_compute = 0.000233 seconds, bandwidth = 74.658101 GBytes/s, performance = 53.753833 GFlop/s, t_j_init = 0.000031 , t_j_init_copy = 0.000077 , t_a_init_copy = 0.000141 , t_j_end_copy = 0.000096 , t_a_end_copy = 0.000158
n_element = 19149 , t_a_compute = 0.000260 seconds, bandwidth = 73.775702 GBytes/s, performance = 53.118506 GFlop/s, t_j_init = 0.000036 , t_j_init_copy = 0.000083 , t_a_init_copy = 0.000149 , t_j_end_copy = 0.000104 , t_a_end_copy = 0.000164
n_element = 21063 , t_a_compute = 0.000277 seconds, bandwidth = 76.011173 GBytes/s, performance = 54.728044 GFlop/s, t_j_init = 0.000038 , t_j_init_copy = 0.000091 , t_a_init_copy = 0.000162 , t_j_end_copy = 0.000113 , t_a_end_copy = 0.000172
